District,STATE,ID
Sivaganga,Tamil Nadu,689
Teni,Tamil Nadu,690
Tenkasi,Tamil Nadu,691
Thanjavur,Tamil Nadu,692
Thiruvarur,Tamil Nadu,693
Tiruchirapalli,Tamil Nadu,694
Tirunelveli,Tamil Nadu,695
Tiruppur,Tamil Nadu,696
Tiruppattur,Tamil Nadu,697
Tiruvallur,Tamil Nadu,698
Tiruvannamalai,Tamil Nadu,699
Tuticorin,Tamil Nadu,700
Vellore,Tamil Nadu,701
Villupuram,Tamil Nadu,702
Virudhunagar,Tamil Nadu,703
Krishnagiri,Tamil Nadu,704
Disputed (Nimach & Chittaurgarh ),Disputed (Madhya Pradesh & Rajasthan),705
Disputed (Baran & Sheopur,Disputed (Madhya Pradesh & Rajasthan),706
Disputed (Sabar Kantha & Udaipur),Disputed (Rajathan & Gujarat),707
Disputed (Sabar Kantha & Sirohi),Disputed (Rajathan & Gujarat),708
Dadra & Nagar Haveli,Dadra & Nagar Haveli & Daman & Diu,709
Baksa,Assam,710
Barpeta,Assam,711
Biswanath,Assam,712
Bongaigaon,Assam,713
Cachar,Assam,714
Charaideo,Assam,715
Chirang,Assam,716
Darrang,Assam,717
Dhemaji,Assam,718
Dhubri,Assam,719
Dibrugarh,Assam,720
Dima Hasao,Assam,721
Goalpara,Assam,722
Golaghat,Assam,723
Hailakandi,Assam,724
Hojai,Assam,725
Jorhat,Assam,726
Kamrup Metro,Assam,727
Kamrup Rural,Assam,728
Karbi Anglong,Assam,729
Karimganj,Assam,730
Kokrajhar,Assam,731
Lakhimpur,Assam,732
Majuli,Assam,733
Marigaon,Assam,734
Nagaon,Assam,735
Nalbari,Assam,736
Sibsagar,Assam,737
Sonitpur,Assam,738
South Salmara Mancachar,Assam,739
Tinsukia,Assam,740
Udalguri,Assam,741
West Karbi Anglong,Assam,742
